"age","body_type","diet","drinks","drugs","education","height","income","last_online","offspring","orientation","pets","religion","sign","smokes","status","where_state","where_town","religion_modifer","sign_modifer","cpp","cpp_fluently","cpp_okay","cpp_poorly","lisp","lisp_fluently","lisp_okay","lisp_poorly","asian","black","hispanic_latin","indian","middle_eastern","native_american","other","pacific_islander","white","essay_length","art","being","biotech","care","climbing","code","coding","company","computer","computers","dancing","data","developer","ender","engineer","engineering","eyes","family","feynman","firefly","fixing","friend","geek","geeky","girl","hair","heart","honest","im","internet","lab","laugh","law","listening","lol","love","math","matrix","mechanical","name","nerd","old","problems","programmer","programming","relationship","robots","school","science","scientist","silicon","smile","software","solve","solving","startup","stephenson","student","systems","teacher","tech","techie","technical","technology","therapist","true","web","websites","wine","writing"
31,"fit","anything","socially","never","graduated_from_masters_program",74,"missing",2,"kids_missing","straight","pets_missing","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.27114431794908,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"curvy","mostly_anything","socially","never","ed_missing",61,"missing",259,"has_a_kid","straight","likes_dogs_and_dislikes_cats","christianity","virgo","sometimes","single","california","san_francisco","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.09864372581706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"average","mostly_anything","socially","never","graduated_from_masters_program",72,"missing",70,"kids_missing","straight","likes_dogs_and_likes_cats","agnosticism","libra","no","single","california","san_francisco","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.35983548233989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"bodytype_missing","strictly_vegan","rarely","never","graduated_from_college_university",67,"missing",17,"has_a_kid","straight","pets_missing","religion_missing","sign_missing","no","single","california","san_francisco","religion_mod_missing","sign_mod_missing",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.90794852161227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"bodytype_missing","diet_missing","socially","never","graduated_from_high_school",63,"inc100000",1,"kids_missing","straight","likes_dogs_and_likes_cats","judaism","capricorn","no","single","california","oakland","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.86628733908419,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"a_little_extra","diet_missing","socially","never","graduated_from_high_school",60,"missing",218,"doesnt_want_kids","straight","likes_dogs_and_likes_cats","other","pisces","no","single","california","castro_valley","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3.3807537708039,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"overweight","mostly_anything","socially","never","graduated_from_college_university",71,"missing",0,"kids_missing","gay","likes_dogs_and_likes_cats","agnosticism","capricorn","no","single","california","palo_alto","and_somewhat_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.37712404234646,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,"full_figured","diet_missing","socially","never","working_on_college_university",69,"missing",11,"kids_missing","gay","has_dogs_and_dislikes_cats","catholicism","cancer","no","single","california","daly_city","but_not_too_serious_about_it","and_its_fun_to_think_about",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,3.65224634100332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
30,"athletic","anything","socially","never","graduated_from_college_university",68,"inc60000",2,"doesnt_have_kids","straight","likes_dogs","christianity","libra","no","single","california","san_mateo","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.27485032001666,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,"fit","strictly_anything","socially","sometimes","graduated_from_masters_program",66,"inc50000",0,"kids_missing","straight","pets_missing","agnosticism","scorpio","sometimes","single","california","berkeley","but_not_too_serious_about_it","but_it_doesnt_matter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.67605312465187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
